cell_id,cell_lat,cell_lon,city,sector_main,entity_count_real,entity_count_total,density_log,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,attractivity_score,attractivity_class,zone_name,district,region_name,display_name
2441_-432,32.9939424,-7.6235292,Settat,Information Technology,10,10,2.3978952727983707,1.0,100000.0,88000.0,200000.0,0.6983372714018556,0.7,6,1,65.3,Fort,Quartier Essmaâla حي السماعلة,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Quartier Essmaâla حي السماعلة - Settat ⵥⵟⵟⴰⵟ سطات
2441_-432,32.9939424,-7.6235292,Settat,Manufacturing,3,3,1.3862943611198906,1.0,100000.0,133333.33333333334,200000.0,0.6983372714018556,0.3333333333333333,1,0,52.17,Faible,Quartier Essmaâla حي السماعلة,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Quartier Essmaâla حي السماعلة - Settat ⵥⵟⵟⴰⵟ سطات
2441_-432,32.9939424,-7.6235292,Settat,Other,133,133,4.897839799950911,0.8571428571428571,100000.0,386666.6666666667,2000000.0,0.6983372714018556,0.0150375939849624,2,0,76.21,Fort,Quartier Essmaâla حي السماعلة,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Quartier Essmaâla حي السماعلة - Settat ⵥⵟⵟⴰⵟ سطات
2441_-432,32.9939424,-7.6235292,Settat,Professional Services,117,117,4.770684624465665,0.5,100000.0,170000.0,500000.0,0.6983372714018556,0.0,0,0,55.99,Moyen,Quartier Essmaâla حي السماعلة,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Quartier Essmaâla حي السماعلة - Settat ⵥⵟⵟⴰⵟ سطات
2441_-432,32.9939424,-7.6235292,Settat,Real Estate,10,10,2.3978952727983707,0.0,100000.0,100000.0,100000.0,0.6983372714018556,0.0,0,0,6.37,Faible,Quartier Essmaâla حي السماعلة,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Quartier Essmaâla حي السماعلة - Settat ⵥⵟⵟⴰⵟ سطات
2441_-432,32.9939424,-7.6235292,Settat,Tourism & Hospitality,18,18,2.9444389791664403,1.0,100000.0,100000.0,100000.0,0.6983372714018556,0.0,0,0,64.49,Moyen,Quartier Essmaâla حي السماعلة,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Quartier Essmaâla حي السماعلة - Settat ⵥⵟⵟⴰⵟ سطات
2441_-432,32.9939424,-7.6235292,Settat,Transport,4,4,1.6094379124341005,1.0,110000.0,157500.0,400000.0,0.6983372714018556,0.0,0,0,51.46,Faible,Quartier Essmaâla حي السماعلة,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Quartier Essmaâla حي السماعلة - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Agriculture,3,3,1.3862943611198906,1.0,100000.0,1733333.3333333333,5000000.0,0.8246282058258934,0.3333333333333333,1,0,54.39,Moyen,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Commerce,65,65,4.189654742026425,0.8103448275862069,100000.0,207693.10344827583,3000000.0,0.8246282058258934,0.3846153846153846,22,3,72.28,Fort,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
2442_-432,33.001374,-7.617374,Settat,Construction,92,92,4.532599493153256,0.8260869565217391,100000.0,199055.5555555556,4100000.0,0.8246282058258934,0.2934782608695652,24,3,75.67,Fort,Hay Mabrouka,Pachalik de Settat باشوية سطات,Casablanca-Settat ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات,Hay Mabrouka - Settat ⵥⵟⵟⴰⵟ سطات
