cell_id,cell_lat,cell_lon,city,entity_count_real,entity_count_total,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,attractivity_score,attractivity_class,n_sectors_present,dominant_sector,density_log,cluster_label
2468_-432,33.3611111,-7.611388900000065,Casablanca,11,11,0.8333333333333334,100000.0,75000.0,100000.0,0.931551157848114,0.0,0,0,46.0,Faible,3,Commerce,2.4849066497880004,0
2469_-428,33.374634,-7.541537,Casablanca,25,25,0.9166666666666666,100000.0,169785.7142857143,1000000.0,0.9144033370417606,0.14880952380952378,3,1,55.68,Moyen,4,Construction,3.258096538021482,1
2469_-454,33.371772,-7.997957,Casablanca,3,3,1.0,55000.0,55000.0,100000.0,0.946265187221801,0.0,0,0,53.44,Faible,1,Construction,1.3862943611198906,1
2470_-430,33.3838141,-7.5774614,Casablanca,6,6,0.5,100000.0,214999.99999999997,1500000.0,1.0,0.0,0,0,28.16,Faible,2,Other,1.9459101490553132,0
2472_-435,33.414212,-7.662719,Casablanca,7,7,1.0,650000.0,1160833.3333333335,4000000.0,0.9232196723355078,0.5833333333333333,3,1,61.355000000000004,Moyen,2,Information Technology,2.0794415416798357,1
2473_-446,33.422836,-7.853125,Casablanca,15,15,0.9444444444444445,100000.0,497888.88888888893,6000000.0,0.8667255430471602,0.1111111111111111,2,0,53.79,Faible,3,Commerce,2.772588722239781,1
2475_-426,33.4514944,-7.514991699999996,Casablanca,12,12,0.7388888888888889,100000.0,912222.2222222221,7500000.0,0.9605581434265924,0.0,0,0,42.123333333333335,Faible,3,Transport,2.5649493574615367,0
2475_-427,33.455998,-7.521093,Casablanca,27,27,0.9642857142857143,50000.0,323028.2738095238,2700000.0,0.8724617239662609,0.16517857142857142,4,1,57.915,Moyen,4,Construction,3.332204510175204,1
2475_-434,33.449332,-7.648521,Casablanca,34,34,1.0,150000.0,1300426.5873015872,15000000.0,0.9265915755790164,0.20595238095238097,6,1,62.01833333333334,Moyen,6,Information Technology,3.5553480614894135,1
2476_-454,33.4605782296,-7.99928172069,Casablanca,3,3,1.0,10000.0,73333.33333333333,200000.0,0.8112781244591328,0.0,0,0,50.91,Faible,1,Construction,1.3862943611198906,1
2478_-407,33.4992008,-7.179026000000022,Casablanca,16,16,0.3055555555555555,100100.0,219183.33333333334,1000000.0,0.804215188963493,0.27777777777777773,5,0,20.856666666666666,Faible,3,Construction,2.833213344056216,0
2478_-435,33.497193,-7.660711,Casablanca,11,11,0.8333333333333334,100000.0,401111.11111111107,4000000.0,0.9276942711037668,0.38888888888888884,4,0,49.343333333333334,Moyen,3,Information Technology,2.4849066497880004,1
2479_-433,33.5001269,-7.6283606,Casablanca,4,4,0.5,100000.0,244583.3333333333,1500000.0,0.8699155297736259,0.0,0,0,28.06,Faible,1,Other,1.6094379124341003,0
2479_-434,33.508966,-7.657671,Casablanca,3,3,1.0,20000.0,210000.0,600000.0,0.0,0.0,0,0,36.67,Faible,1,Commerce,1.3862943611198906,1
2479_-443,33.503089008,-7.80036679786,Casablanca,3,3,1.0,100000.0,100000.0,100000.0,0.9709505944546688,0.0,0,0,54.03,Moyen,1,Construction,1.3862943611198906,1
2480_-432,33.524046,-7.616726,Casablanca,3,3,1.0,100000.0,100666.66666666669,200000.0,0.8962406251802891,1.0,3,0,61.51,Moyen,1,Commerce,1.3862943611198906,1
2480_-433,33.5175672,-7.6325355,Casablanca,74,74,0.8095238095238094,100000.0,1131843.2234432234,20000000.0,0.7391460495109319,0.11564625850340135,2,1,48.385714285714286,Faible,7,Healthcare,4.31748811353631,2
2480_-434,33.52482,-7.65048,Casablanca,235,235,0.8336648919286491,100000.0,449150.05789334455,52800000.0,0.8170923583747364,0.13259028342519802,31,4,58.141,Fort,10,Commerce,5.4638318050256105,2
2480_-435,33.5191342622,-7.65980632131,Casablanca,9,9,1.0,150000.0,204166.66666666666,730000.0,0.8932941324021466,0.16666666666666666,2,0,57.05,Faible,2,Commerce,2.302585092994046,1
2480_-444,33.515224,-7.817848,Casablanca,63,63,0.9321941216678059,100000.0,211543.02118933699,5000000.0,0.8067851462340216,0.20345408976987925,13,1,60.146,Moyen,5,Construction,4.1588830833596715,1
2481_-421,33.538578,-7.417297,Casablanca,3,3,1.0,500000.0,506666.6666666667,1000000.0,0.9283832117695864,0.0,0,0,54.69,Moyen,1,Construction,1.3862943611198906,1
2481_-428,33.5387569043,-7.55280565775,Casablanca,26,26,0.9629629629629629,100000.0,144404.7619047619,2000000.0,0.7203538085811011,0.1931216931216931,5,2,56.626666666666665,Faible,3,Construction,3.295836866004329,1
2481_-429,33.538073751,-7.56767875201,Casablanca,20,20,0.96875,100000.0,309791.6666666666,2000000.0,0.9028370312787066,0.41041666666666665,7,0,58.94,Moyen,4,Commerce,3.044522437723423,1
2481_-430,33.533333,-7.583333,Casablanca,693,693,0.9411653442966315,100000.0,381393.2867587824,40000000.0,0.7869565675483935,0.278800716015894,212,63,72.11272727272727,Fort,11,Commerce,6.542471960506805,2
2481_-431,33.5357220535,-7.59348398049,Casablanca,273,273,0.8923558897243108,100000.0,254522.97146401982,11400000.0,0.7642226074376921,0.2483786078098472,88,6,61.258,Fort,10,Commerce,5.6131281063880705,2
2481_-432,33.532723,-7.617047,Casablanca,156,156,0.8964242044505203,100000.0,292213.6376417234,22091994.0,0.7853949387739031,0.1923418394471026,35,2,61.63285714285714,Fort,7,Commerce,5.056245805348308,2
