num__entity_count_real,num__entity_count_total,num__density_log,num__active_rate,num__capital_median,num__capital_mean,num__capital_max,num__sector_diversity,num__formal_ratio,num__sarl_count,num__sa_count,num__n_sectors_present,num__cell_lat,num__cell_lon,cat__city_Benslimane,cat__city_Casablanca,cat__city_El Jadida,cat__city_Mohammedia,cat__city_Settat
0.03418101250537101,0.0,0.051173773476603956,0.07750843955343553,0.0,0.29093624069029916,0.057628451516917506,0.6572065282713125,0.02401135553547024,1.611077863977668,0.08088128686849697,0.22422527465291409,0.1951800496136884,0.05038349898377848,0.0,0.0,0.0,0.0,0.0
0.032201339275072745,0.0,0.016173197329531375,0.09415173206427713,0.0,0.25232417799013523,0.05990104652737354,0.788063130717244,0.010112559944213615,0.1493599274880701,0.016195690491679446,0.06648822804768532,0.23536838214141756,0.05159301730034118,0.0,0.0,0.0,0.0,0.0
0.034314117010946235,0.0,0.018253896906915094,0.07750779710959078,0.0,0.20012803428928191,0.04643464700747745,0.7052571064727186,0.024023073157801337,0.14807344731014896,0.030092641157004857,0.05866415275318318,0.1857034054745351,0.040306949491163147,0.0,0.0,0.0,0.0,0.0
0.012601744777527416,0.0,0.013924175698027364,0.07663669630126263,0.0,0.19896690585828178,0.02310400166354848,0.6135050292426151,0.016185853864647205,0.12771334183777308,0.01880690638796473,0.03193727057085193,0.2559346845743802,0.016093705850912073,0.0,0.0,0.0,0.0,0.0
0.014903040968911041,0.0,0.013909883665800196,0.12624558809211725,0.0,0.1872471054866318,0.023123896907717656,0.9864304662224175,0.026066144355284187,0.1422109395426714,0.015958117479796054,0.03191873286100469,0.32265452421727375,0.04764229201380643,0.0,0.0,0.0,0.0,0.0
0.06461225654853225,0.0,0.01703193806419147,0.07243256054237433,0.0,0.25376958751643747,0.0564388951323048,0.6048889200825563,0.02393261828187082,0.16697203629032162,0.10401173406017937,0.0693834269391546,0.5219133737541363,0.028738797658435705,0.0,0.0,0.0,0.0,0.0
0.012192397100629535,0.0,0.012736219963691802,0.07156333636472571,0.0,0.1576799787244476,0.03967698631828321,0.6180057626968155,0.010387878767276607,0.13247657070164817,0.01879718818606309,0.02401527231156318,0.5714172315858473,0.11906762002124072,0.0,0.0,0.0,0.0,0.0
0.029041519059064325,0.0,0.047927677451892255,0.0894241199451299,0.0,5.376089626846604,0.044222364102695894,0.6823254278834964,0.019849518574845865,1.6631119040872637,0.07887895859220571,0.21870981879679197,0.3098134993258959,0.15967821954806125,0.0,0.0,0.0,0.0,0.0
0.017796089152304805,0.0,0.010950245972722298,0.15519510167119993,0.0,0.14851446621007705,0.16047096081457426,7.383662471964101,0.008753132800060228,0.11602879731053133,0.015681919246787208,0.03193360415457184,0.48987285547044107,0.032464840300716113,0.0,0.0,0.0,0.0,0.0
0.043977487891295824,0.0,0.016180007577086927,0.09141962996823788,0.0,0.25388372003650245,0.07378946210818711,0.7661843772848437,0.013282626380764764,0.15242905320900849,0.0300075368877759,0.0717144866281227,0.22827845333735555,0.05160001551488954,0.0,0.0,0.0,0.0,0.0
0.014534117377689747,0.0,0.012718381862179266,0.07663669630126263,0.0,0.20864426073160922,0.020912204581098517,0.6996233345842393,0.008758134957696713,0.1269555928378475,0.018534167735868707,0.018152531135129178,0.2421739168551635,0.053204990864120665,0.0,0.0,0.0,0.0,0.0
0.0262321171522169,0.0,0.014950695956120452,0.07663177839639858,0.0,0.262331326125302,0.057380100722755456,0.7114354586015118,0.030245729695785442,0.14866905725860272,0.01581863535644577,0.07171877133018621,0.22659646887458443,0.05472250720949386,0.0,0.0,0.0,0.0,0.0
0.01956862175590707,0.0,0.05842564043569156,0.07663669630126263,0.0,0.1841789307144166,0.024002610192930162,0.985520208072001,0.030247683657632512,0.14764733316921516,0.015721576925808865,0.2163225448509609,0.3201592788795042,0.02084264027838462,0.0,0.0,0.0,0.0,0.0
0.01903216063449465,0.0,0.012471643458386111,0.1551957070910839,0.0,0.20494658614057526,0.1616109605761747,0.7098254496413432,0.008767880081442843,0.12692288836938184,0.01847444938517254,0.031908730999703185,0.26863392095703414,0.06270642186017368,0.0,0.0,0.0,0.0,0.0
0.01780278769388891,0.0,0.010950204728841555,0.15519510167119993,0.0,0.14852483042237738,0.16048192589555973,7.383667001898753,0.008753132800060228,0.11602973544885253,0.015681919246787208,0.031932050026899646,0.489851117141418,0.032448617449801445,0.0,0.0,0.0,0.0,0.0
0.014793487065104883,0.0,0.013919432148624414,0.14288031002318788,0.0,0.197241602883794,0.02412516963843488,0.7816904981910566,0.013290988630574681,0.1430475487749987,0.018592760404800412,0.018221093925318333,0.24559759625256397,0.04844319481710932,0.0,0.0,0.0,0.0,0.0
0.012070436348045983,0.0,0.013913693046425604,0.15813462979249737,0.0,0.15789049635303878,0.03273810284339953,0.7022782568178795,0.025994604592990415,0.13852674453856367,0.018584632267952154,0.024089411891113466,0.5867039622003186,0.1330286872502061,0.0,0.0,0.0,0.0,0.0
