entity_count_real,entity_count_total,density_log,active_rate,capital_median,capital_mean,capital_max,sector_diversity,formal_ratio,sarl_count,sa_count,vitality,weighted_capital,gps_quality,city_avg_density,city_avg_active,city_avg_capital,city_n_sectors,rel_density,rel_capital,city_Casablanca,city_El Jadida,city_Mohammedia,city_Settat,sector_main_Commerce,sector_main_Construction,sector_main_Education,sector_main_Finance,sector_main_Healthcare,sector_main_Information Technology,sector_main_Manufacturing,sector_main_Other,sector_main_Professional Services,sector_main_Real Estate,sector_main_Tourism & Hospitality,sector_main_Transport
0.02547866,-0.011544919,0.0,2.3956552,-0.37159494,-0.014517922,0.0862887,-0.9812113,-1.2907169,-0.13131022,-0.030865377,-7.075281,0.2816719,0.00051235216,0.003764327,0.0045360015,-0.0033365597,-0.00019203807,-0.08201502,-0.0022922247,0.0,0.0,0.0,0.0,-0.0037683954,0.0024234327,-0.001955037,0.0014656944,0.0001907443,0.01013009,-0.0038796072,0.0007814834,-0.0018330374,-0.027558941,-0.00037285613,-0.0028484862
-0.37820852,-0.019256584,0.0,-2.1286373,-0.13938908,-0.019918501,0.004804777,-0.050138954,-0.6792099,-0.13651289,-0.018011894,-17.379683,-0.3068525,0.00051235216,0.0143164415,0.0056282612,-0.001892492,-0.00069957506,-0.034286756,-0.0013854494,0.0,0.0,0.0,0.0,-0.003941006,0.0019435524,0.00015508372,0.0030446402,0.032309543,0.0028125877,-0.003552375,0.0009432761,-0.00019858926,0.0007871135,-0.0009877719,0.003079091
0.005947495,-0.008489361,0.0,1.697826,-0.19129051,0.043017585,0.0059505957,0.20392995,0.44874564,-0.07170481,-0.039167773,2.8150716,0.3445628,0.00051235216,0.0043975906,0.00440321,-0.0008586782,-0.00030929665,-0.013692963,-0.00026738484,0.0,0.0,0.0,0.0,-0.0038311991,0.006019166,-0.0006066673,0.0015038186,-0.0010730574,-0.0001715017,-0.0019444269,0.0006694608,-0.0003235837,0.0008385937,-7.4534337e-06,-0.08493865
0.4761384,0.016284676,0.0,0.8042656,-0.07162842,0.15062349,0.011849628,-0.41348365,1.4121674,1.433163,0.23393336,29.59581,0.23810658,0.0026254081,0.002112065,0.005063823,-0.0005609132,-0.00037489523,0.39267027,0.0011431031,0.0,0.0,0.0,0.0,0.038916767,0.008071358,-0.0018712365,0.0013481122,-0.0011448173,0.07525344,-0.0021687567,0.003057979,0.0028300765,0.015347824,-0.0008641657,0.003761365
0.0118605625,-0.011217287,0.0,-2.362824,-0.09045356,-0.012473308,0.001940801,-0.745085,-0.74631125,-0.1308704,-0.01958541,-25.527475,-0.03930276,0.00051235216,0.014670943,0.0056321505,-0.017163076,-0.0006824753,-0.081885405,-0.0012612707,0.0,0.0,0.0,0.0,-0.0038983938,0.0021113215,-0.0027687522,0.0030291001,0.028839836,0.002838294,-0.0018512949,0.001134863,0.0013102356,-0.0028659578,-0.0004082945,0.00798003
-0.03518038,-0.00999919,0.0,-5.339151,-0.21260585,-0.19717829,0.047089636,-0.045006707,-0.8051641,-0.1392789,-0.014168101,-7.267466,0.03750683,0.00051235216,-0.23426214,-0.028403124,6.520173e-05,-0.0006619118,-0.04978372,-0.000378775,0.0,0.0,0.0,0.0,-0.0032442105,0.0045672785,-0.0017244549,0.002909052,0.009379222,0.0013513125,-0.0064751646,-0.00036534847,0.0029678817,-0.000639202,-0.002425225,0.07720112
-0.089415714,-0.009389582,0.0,2.4884338,-0.3705608,-0.08346965,-0.05363796,1.6617345,-1.3861889,-0.14570446,-0.026767965,-6.488702,0.28036302,0.00051235216,0.0053058667,0.004393099,-0.0006528268,-0.00010360523,-0.10984384,-0.002143828,0.0,0.0,0.0,0.0,-0.0028175034,0.0031685669,-0.00087019824,0.0014015783,-0.00051197933,0.012802658,-0.0066803815,8.424392e-05,-0.0022646238,0.0027288843,-0.0016209133,-0.03525979
0.015950315,0.002756649,0.0,1.0516421,-0.09947444,-0.12262865,-0.05454604,-0.8725788,0.14706291,-0.08304904,0.03945266,19.154522,0.31723318,0.0012775246,0.0022311744,0.005226376,0.00093920314,-0.00038051288,0.15790871,-0.0010001302,0.0,0.0,0.0,0.0,-0.00043034367,0.0011327703,-0.00440072,0.0028077788,-0.0002990944,-0.023997882,-0.002492556,0.003010077,-0.00017176899,0.006181781,0.005969521,0.00045633467
-0.08795954,0.0077519333,0.0,0.83185375,-0.09934291,-0.015640292,0.007192461,0.3606862,0.2518108,-0.2936793,-0.077466555,15.253128,0.20452188,0.0012775246,0.006594765,0.0077630486,-0.0005519203,-0.00021875827,-0.046399135,-0.00043808142,0.0,0.0,0.0,0.0,-0.008808903,0.005014444,0.0004400096,0.002783754,0.0022634435,-0.023751702,-0.0031875968,0.0060685943,-0.0048015984,0.0018676748,-0.0005743042,-0.0053626373
-0.03582098,0.00028171975,0.0,0.8885925,-0.09885894,0.04058898,0.0169142,0.36009294,0.46231148,-0.17810594,0.055707127,12.6981735,0.19476067,0.0012775246,0.0060664597,0.0049646143,-0.00055547844,-0.00030084068,-0.05717193,-0.0006909939,0.0,0.0,0.0,0.0,-0.013448986,0.005104046,0.00052548485,0.002816926,7.9067395e-05,0.003115598,0.04782978,0.00027316427,-0.0048591746,0.0036616588,3.0845025e-05,0.0038142998
